Target_Class,Target,Trial_Number,Trial_Date,Ine_Duration_Sec,Ine_Prptn_Total_Sec,Joh_Duration_Sec,Joh_Prptn_Total_Sec
Height,Height_5,5,2-Jun-06,232,0.053966039,286,0.066527099
Height,Height_10,5,2-Jun-06,1778,0.413584555,1343,0.312398232
Height,Height_20,5,2-Jun-06,1010,0.234938358,1067,0.248197255
Height,Height_High,5,2-Jun-06,0,0,373,0.086764364
Height,Height_Unk,5,2-Jun-06,1279,0.297511049,1230,0.28611305
Light,Full_Shade,5,2-Jun-06,232,0.053966039,959,0.223075134
Light,Part_Shade,5,2-Jun-06,799,0.185857176,1836,0.427076064
Light,Small_Gap,5,2-Jun-06,608,0.141428239,274,0.063735753
Light,Large_Gap,5,2-Jun-06,0,0,0,0
Light,Light_Unk,5,2-Jun-06,2660,0.618748546,1230,0.28611305
Weather,Clear,6,28-Jul-06,0,0,0,0
Weather,Sun/Cloud,6,28-Jul-06,4075,1,4075,1
Weather,Cloud,6,28-Jul-06,0,0,0,0
Weather,Rain,6,28-Jul-06,0,0,0,0
Weather,WeatherUnk,6,28-Jul-06,0,0,0,0
Ad_Scan,Ad_10,6,28-Jul-06,350,0.085889571,0,0
Ad_Scan,Ad_5,6,28-Jul-06,3094,0.759263804,3355,0.823312883
Ad_Scan,Ad_1,6,28-Jul-06,412,0.101104294,709,0.17398773
Ad_Scan,Ad_Unk,6,28-Jul-06,219,0.053742331,11,0.002699387
Jv_Scan,Jv_Far,6,28-Jul-06,0,0,0,0
Jv_Scan,Jv_10,6,28-Jul-06,0,0,0,0
Jv_Scan,Jv_5,6,28-Jul-06,0,0,0,0
Jv_Scan,Jv_1,6,28-Jul-06,0,0,0,0
Jv_Scan,Jv_Contact,6,28-Jul-06,0,0,0,0
Jv_Scan,Jv_Unk,6,28-Jul-06,4075,1,4075,1
InfCarr,InfCarrTRUE,6,28-Jul-06,4067,0.99803681,4032,0.989447853
Behav,Travel,6,28-Jul-06,450,0.110429448,342,0.08392638
Behav,Forage,6,28-Jul-06,1017,0.249570552,1148,0.281717791
Behav,Rest,6,28-Jul-06,2608,0.64,2585,0.634355828
Height,Height_1,6,28-Jul-06,0,0,0,0
Height,Height_5,6,28-Jul-06,0,0,0,0
Height,Height_10,6,28-Jul-06,0,0,0,0
Height,Height_20,6,28-Jul-06,3625,0.889570552,2872,0.704785276
Height,Height_High,6,28-Jul-06,0,0,855,0.209815951
Height,Height_Unk,6,28-Jul-06,450,0.110429448,348,0.085398773
Light,Full_Shade,6,28-Jul-06,0,0,162,0.039754601
Light,Part_Shade,6,28-Jul-06,950,0.233128834,1508,0.37006135
Light,Small_Gap,6,28-Jul-06,1653,0.405644172,2057,0.504785276
Light,Large_Gap,6,28-Jul-06,29,0.007116564,0,0
Light,Light_Unk,6,28-Jul-06,1443,0.354110429,348,0.085398773
Weather,Clear,7,1-Sep-06,0,0,0,0
Weather,Sun/Cloud,7,1-Sep-06,6291,1,6291,1
Weather,Cloud,7,1-Sep-06,0,0,0,0
Weather,Rain,7,1-Sep-06,0,0,0,0
Weather,WeatherUnk,7,1-Sep-06,0,0,0,0
Ad_Scan,Ad_5,7,1-Sep-06,1835,0.291686536,1837,0.292004451
Ad_Scan,Ad_Unk,7,1-Sep-06,4456,0.708313464,4454,0.707995549
Jv_Scan,Jv_Far,7,1-Sep-06,0,0,0,0
